"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Wireless Detection System for Health and Military Application","Yallalinga; N. S. Benni; S. S. Manvi","Sch. of ECE, Reva Inst. of Technol. & Manage., Bangalore, India; School of ECE, Reva Institute of Technology and Management Bengaluru, India; School of ECE, Reva Institute of Technology and Management Bengaluru, India",2017 IEEE 7th International Advance Computing Conference (IACC),"13 Jul 2017","2017","","","161","166","This study is to develop a wireless detection system for health and military application. Among the elderly population falling/collapsing is a common and very serious issue. It can cause severe injuries like fractures, joint dislocations, head injuries etc. In cases where person is immobilized or lost consciousness it is not possible to seek immediate help or medical attention. There are several cases where elderly people live alone are not found for hours after the fall which makes the situation more severe. The damage caused because of failure in seeking medical attention at the right time is more than the damage and injuries caused by the fall itself. Similar cases can be found with Border Security Force soldiers and other security people standing for long hours guarding the nation borders. Also VIP securities standing in front of VIP homes are vulnerable for such attacks causing injuries. Objective of this paper is to develop a wireless fall-detection system which can sense such situations and alerts others seeking help. The sensors for fall Detection is wearable by the potential-victim/user. Upon detection of fall/collapse the sensor system transmits the information wirelessly, which will be received by the care-taker's mobile. The sensor is a belt shaped wearable device consisting of accelerometer (tri-axial) and gyroscope. These sensors are used to classify the posture and dynamics of the user. The main aim of the project is to develop efficient algorithms to detect falls and distinguish between falls and non-falls using these sensors. The sensor is a part of zigbee node. It will communicate to the microcontroller over zigbee. Zigbee will provide an efficient wireless communication with the microcontroller with relatively small hardware size. The microcontroller is responsible for sending information to the Care taker's mobile using a GSM module interfaced to it. The microcontroller is interfaced to a PC in order to burn the program on to the microcontroller and for testing and debugging.","2473-3571","978-1-5090-1560-3","10.1109/IACC.2017.0045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7976779","Wireless Network;GSM model;Tri-axial accelerometers and Gyroscopes;Fall detection;lower quality of life","Accelerometers;Sensors;Gyroscopes;Batteries;Microcontrollers;Light emitting diodes;GSM","","3","","11","IEEE","13 Jul 2017","5-7 Jan. 2017","5-7 Jan. 2017","IEEE","IEEE Conferences"
"Smart House Assistive Technologies for Senior Citizens","L. Nchena","Faculty of Applied Informatics, Tomas Bata University in Zlín, Zlin, Czech Republic",2022 12th International Conference on Advanced Computer Information Technologies (ACIT),"12 Oct 2022","2022","","","448","453","A Smart house is a special type of house that has automated services it offers to its residents to enhance their comfortability. Smart houses can implement for various purposes including luxury automation capability, entertainment, security, mitigation of disability, health, or medical reasons. In this paper, a special smart house design prototype for senior citizens is proposed. The design is proposed to have assistive technologies services easily added to or removed from the smart house. Depending on the need, a service could be added, modified, or removed with little effort. The complexity of service can be extended or limited based on the requirements of the subject senior citizen. Some of the service offerings in this house include; (a) security services, for instance in case of a fire, a fall detection, or a sharp rise in fever symptoms, an alert distress signal would be sent to the caregivers center; (b) action execution services, for example, automated preparation of bathwater, preparation of breakfast, preparation of dinner, switching lights on or off, etc.; (c) interactive services, for instance, remainders for medicine taking schedule, prompt of beverage choice, prompt to send distress signal when possible danger is detected by the system, etc. The comprehensive design would have four main modules: smart house automated services, assistive technologies services, privacy policy protocol, and security services. The design has been developed and would be implemented in the future.","2770-5226","978-1-6654-1050-2","10.1109/ACIT54803.2022.9913158","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9913158","Smart House;Assistive Technologies;Artificial Intelligence;Modularization;IoT","Schedules;Privacy;Protocols;Prototypes;Entertainment industry;Switches;Assistive technologies","","1","","15","IEEE","12 Oct 2022","26-28 Sept. 2022","26-28 Sept. 2022","IEEE","IEEE Conferences"
"BlockTheFall: Wearable Device-based Fall Detection Framework Powered by Machine Learning and Blockchain for Elderly Care","B. Saha; M. S. Islam; A. Kamrul Riad; S. Tahora; H. Shahriar; S. Sneha","Department of Information Technology, Kennesaw State University, Georgia, United States; Department of Information Technology, Kennesaw State University, Georgia, United States; Department of Information Technology, Kennesaw State University, Georgia, United States; Department of Information Technology, Kennesaw State University, Georgia, United States; Department of Information Technology, Kennesaw State University, Georgia, United States; Department of Information Systems and Security, Kennesaw State University, Georgia, United States","2023 IEEE 47th Annual Computers, Software, and Applications Conference (COMPSAC)","2 Aug 2023","2023","","","1412","1417","Falls among the elderly are a major health concern, frequently resulting in serious injuries and a reduced quality of life. In this paper, we propose ""BlockTheFall,"" a wearable device-based fall detection framework which detects falls in real time by using sensor data from wearable devices. To accurately identify patterns and detect falls, the collected sensor data is analyzed using machine learning algorithms. To ensure data integrity and security, the framework stores and verifies fall event data using blockchain technology. The proposed framework aims to provide an efficient and dependable solution for fall detection with improved emergency response, and elderly individuals’ overall well-being. Further experiments and evaluations are being carried out to validate the effectiveness and feasibility of the proposed framework, which has shown promising results in distinguishing genuine falls from simulated falls. By providing timely and accurate fall detection and response, this framework has the potential to substantially boost the quality of elderly care.","0730-3157","979-8-3503-2697-0","10.1109/COMPSAC57700.2023.00216","National Science Foundation; National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10196872","Fall detection;Blockchain technology;Machine learning;Wearable devices","Wearable computers;Sociology;Software;Blockchains;Security;Reliability;Fall detection","","20","","15","IEEE","2 Aug 2023","26-30 June 2023","26-30 June 2023","IEEE","IEEE Conferences"
"Human Fall Detection Based on Posture Estimation and Infrared Thermography","H. Fu; J. Gao","School of Automation, Qingdao University, Qingdao, China; School of Automation, Qingdao University, Qingdao, China",IEEE Sensors Journal,"16 Oct 2023","2023","23","20","24744","24751","Fall detection holds significant practical value in the fields of medicine and security. In this study, we propose a pose-based human fall detection system that incorporates an infrared thermal imaging camera to overcome challenges faced during nocturnal and poorly illuminated scenarios. To facilitate fall detection, we have integrated a classification function into the YOLOv7POSE network. Furthermore, the introduction of a simple attention mechanism (SimAM) to the backbone network substantially enhances its capability to discern human features. In terms of image processing, we optimized the ConvNeXt structure and integrated it into the backbone network to improve the accuracy of keypoint detection and fall classification. Our enhancements also encompass the redesign of the spatial pyramid pool structure within the head layer, resulting in improved model accuracy. We also replaced the regression function of the target detection framework with scylla intersection over union (SIOU) and correspondingly adjusted the calculation formula to enhance the accuracy of coordinate regression. Experiments show that the mean average precision (mAP) of the improved model reaches 0.964, which is 0.045 higher than that of the original YOLOv7POSE model. The accuracy of fall pose recognition and the confidence of detection are significantly increased.","1558-1748","","10.1109/JSEN.2023.3307160","Shandong Provincial Natural Science Foundation(grant numbers:ZR2019MF063); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231115","Attention mechanism;infrared thermography;pose estimation;spatial pyramid pooling","Fall detection;Neurons;Computational modeling;Task analysis;Feature extraction;Wearable sensors;Object detection","","12","","33","IEEE","25 Aug 2023","15 Oct.15, 2023","","IEEE","IEEE Journals"
"Research on fall detection algorithm based on PPYOLOE","Y. Wan; X. Hu; Y. Wu","Dept. College of Computer Science and Technology, Donghua University, Shanghai, China; Dept. College of Computer Science and Technology, Donghua University, Shanghai, China; Dept. College of Computer Science and Technology, Donghua University, Shanghai, China",2024 International Conference on Virtual Reality and Visualization (ICVRV),"13 Jun 2025","2024","","","124","129","Falls pose a serious challenge to the health and safety of the elderly population. In crowded public places, such incidents may also trigger secondary disasters such as stampede, so rapid identification of fall behavior is crucial for maintaining public safety. Traditional fall detection algorithms have significant deficiencies in terms of insufficient feature extraction, single detection method, and poor real-time performance, which make it difficult to cope with complex fall scenarios and real-time detection requirements. In order to overcome the shortcomings of traditional fall detection algorithms, this study improves the PPYOLOE algorithm. We optimize feature extraction using Depthwise Separable Convolution (DSConv) and introduce High-Level Screening-feature Fusion Pyramid Networks (HS-FPN) and Efficient Multi-Scale Attention (EMA) to enhance important features. The improved algorithm significantly improves the detection performance and computational efficiency. Compared with the traditional PPYOLOE algorithm, the fall detection algorithm designed in this paper shows significant advantages in detection accuracy and real-time performance. In the experiment, Our improved algorithm has achieved a 3.5% increase in accuracy on the mAP@0.5 metric, it reaches 94.4% and achieves 24fps on GPU, which realizes the high precision detection of fall events and meets the deployment requirements in low computation scenarios. The real-time and high precision of the algorithm makes it suitable for various monitoring scenarios, which improves the social security level and emergency response capability.","2473-571X","979-8-3315-1544-7","10.1109/ICVRV62410.2024.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028692","fall detection;PPYOLOE;HS-FPN;Efficient Multi-Scale Attention;DSConv","Visualization;Accuracy;Surveillance;Disasters;Graphics processing units;Feature extraction;Real-time systems;Public security;Fall detection;Older adults","","","","22","IEEE","13 Jun 2025","27-29 Dec. 2024","27-29 Dec. 2024","IEEE","IEEE Conferences"
"Elderly Patient Monitoring and Fall Detection Using mmWave FMCW Radar System","M. S. R. Akash; M. N. Shahria; M. A. Morshed; S. S. Rodsee; N. Hannan; M. H. Imam","Department of Electrical and Electronics Engineering, AIUB; Department of Electrical and Electronics Engineering, AIUB; Department of Electrical and Electronics Engineering, AIUB; Department of Electrical and Electronics Engineering, AIUB; Department of Electrical and Electronics Engineering, AIUB; Department of Electrical and Electronics Engineering, AIUB",2023 26th International Conference on Computer and Information Technology (ICCIT),"27 Feb 2024","2023","","","1","6","Frequency Modulated Continuous Wave radar is nowadays considered as an important technology to monitor the health condition, fall condition and activities of elderly patients for their well-being and safety. Infrared Proximity (IP) and Passive Infrared (PIR) camera systems have traditionally been used for this purpose, but this system has crucial limitations, especially with regards to fast detection technique for such as preventing accident in the bathroom and indoor environment. The use of surveillance cameras not only struggles at nighttime detection but also can compromise patients' privacy, such as bathroom activities. FMCW radar technology can operate effectively in no-light conditions making them particularly suitable for nighttime monitoring by addressing privacy concerns. The principles of FMCW radar, signal processing algorithms and methods are discussed in this paper. Depending on the type of motion activity, a patient's returning radar signal will exhibit varying Doppler effect properties. This technology not only enhances patient care but also relieves healthcare providers and families from the need for constant in-room surveillance. FMCW radar technology bridges the gap between patient privacy concerns and the necessity for improving patient healthcare. This paper explores the utilization of FMCW radar for monitoring elderly patients and fall detection, with the goal of developing a privacy friendly app-based solution for real-time remote patient activity tracking.","","979-8-3503-5901-5","10.1109/ICCIT60459.2023.10441619","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441619","Fall Detection;FMCW Radar;MIMO Antenna;mmWave;Patient monitoring","Privacy;Patient monitoring;Spaceborne radar;Radar detection;Radar;Radar antennas;Older adults","","5","","21","IEEE","27 Feb 2024","13-15 Dec. 2023","13-15 Dec. 2023","IEEE","IEEE Conferences"
"Human-Centric Edge Intelligence with Gaussian Splatting for Privacy-Aware Elderly Care","L. B. Aime; D. Das; P. Chatterjee; U. Ghosh","Department of Computer Science and Data Science, Meharry Medical College, Nashville, TN, USA; Department of Computer Science and Data Science, Meharry Medical College, Nashville, TN, USA; Department of Computer Science and Data Science, Meharry Medical College, Nashville, TN, USA; Department of Computer Science and Data Science, Meharry Medical College, Nashville, TN, USA","2025 IEEE 16th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)","4 Dec 2025","2025","","","0427","0433","The growing elderly population makes it challenging to provide safe, effective, and respectful healthcare, especially for those living alone or in assisted facilities. Existing health monitoring systems, mainly using centralized architectures and single-sensor data, face latency, limited context awareness, and privacy issues. Although deep learning and IoT systems have advanced Human Activity Recognition (HAR), most still send raw data to the cloud, which is not ideal for elderly care. This study addresses these gaps by developing a people-focused, privacy-preserving edge monitoring framework using immersive modeling and multimodal sensing. The framework uses federated learning to let people train models together without sharing their raw personal data. It combines wearable devices, ambient sensors, and vision-based data streams with federated learning to enable decentralized, collaborative model training without exposing raw personal data. Herein, privacy is further enforced through embedded Gaussian-based visual obfuscation and a proof-of-concept Gaussian splatting module for anonymized 3D human modeling. The proposed strategy has been tested on multimodal datasets like UP-Fall and has been shown to perform well. The findings indicate the existence of distinct activity signatures across modalities. Late-fusion models also show superior fall-detection recall than unimodal baselines, even when there are issues with class imbalance and noise. Overall, the findings show that edge AI that is immersive and cares about privacy might greatly improve the accuracy, speed, and dependability of health monitoring systems for older people.","","979-8-3315-6501-5","10.1109/UEMCON67449.2025.11267584","National Science Foundation(grant numbers:2401928); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11267584","Human Activity Recognition;Elderly Health Monitoring;Edge AI;Multimodal Data Fusion;Gaussian Splatting;Fall Detection","Data privacy;Visualization;Three-dimensional displays;Federated learning;Edge AI;Human activity recognition;Older adults;Wearable devices;Monitoring;Wearable sensors","","","","24","IEEE","4 Dec 2025","22-24 Oct. 2025","22-24 Oct. 2025","IEEE","IEEE Conferences"
"Privacy-Preserving Fall Detection with Deep Learning on mmWave Radar Signal","Y. Sun; R. Hang; Z. Li; M. Jin; K. Xu","Department of Computer Science and Electrical Engineering, University of Missouri, Kansas City, USA; Department of Computer Science and Electrical Engineering, University of Missouri, Kansas City, USA; Department of Computer Science and Electrical Engineering, University of Missouri, Kansas City, USA; Ric Semiconductor, LLC, Texas, USA; Ric Semiconductor, LLC, Texas, USA",2019 IEEE Visual Communications and Image Processing (VCIP),"23 Jan 2020","2019","","","1","4","Fall is one of the main reasons for body injuries among seniors. Traditional fall detection methods are mainly achieved by wearable and non-wearable techniques, which may cause skin discomfort or invasion of privacy to users. In this paper, we propose an automatic fall detection method with the assist of the mmWave radar signal to solve the aforementioned issues. The radar devices are capable to record the reflection from objects in both the spatial and temporal domain, which can be used to depict the activities of users with the support of a recurrent neural network (RNN) with long-short-term memory (LSTM) units. First, we employ the radar low-dimension embedding (RLDE) algorithm to preprocess the Range-angle reflection heatmap sequence converted from the raw radar signal for reducing the redundancy in the spatial domain. Then, the processed sequence is split into frames for inputting LSTM units one by one. Eventually, the output from the last LSTM unit is fed in a Softmax layer for classifying different activities. To validate the effectiveness of our proposed method, we construct a radar dataset with the assist of market radar module devices, to implement several experiments. The experimental results demonstrate that, compared to LSTM only and the widely used 3-D convolutional neural network (3-D CNN), combining RLDE and LSTM can achieve the best detection results with much less computational time consumption. In addition, we extend the proposed method to classify multiple human activities simultaneously and the satisfied performances are observed.","2642-9357","978-1-7281-3723-0","10.1109/VCIP47243.2019.8965661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8965661","Fall detection;mmWave radar signal;radar low-dimension embedding (RFLE) algorithm;long-short-term memory (LSTM);human activities detection","Heating systems;Recurrent neural networks;Three-dimensional displays;Radar detection;Radar imaging;Reflection;Radar signal processing;Fall detection;Millimeter wave communication;Long short term memory","","32","","12","IEEE","23 Jan 2020","1-4 Dec. 2019","1-4 Dec. 2019","IEEE","IEEE Conferences"
"Enhancing Fall Detection for Elderly with Smart Helmet in a Cloud-Network-Edge Architecture","K. M. Shahiduzzaman; X. Hei; C. Guo; W. Cheng","Huazhong University of Science and Technology, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; CloudMinds Technologies, Beijing, China; Huazhong University of Science and Technology, Wuhan, China",2019 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-TW),"13 Feb 2020","2019","","","1","2","Falls commonly occur for elder citizens which may lead to severe injuries. In this paper, we propose a cloud-network-edge architecture to enhance fall detection, prevention and protection which consists of the medical cloud, edge networks and end-devices, such smart helmet. The smart helmet is integrated with wearable cameras, accelerometers, gyroscope sensors; hence, it is able to sense daily activities of the elderly based on data fusion from multi sensors collaboratively. The processing of the sensor data can be offloaded at the edge for reducing delay and preserving privacy. The medical data can be delivered over a secure medical network to the medical cloud for services, such as fall alarm. In particular, we evaluate the performance of multimode processing algorithms for video and accelerometer data to enhance fall detection. Our experimental results show that the proposed algorithms are able to increase the accuracy and reduce the false alarm effectively.","","978-1-7281-3279-2","10.1109/ICCE-TW46550.2019.8991972","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8991972","Fall detection;Wearable camera;Accelerometer;Cloud-Network-Edge;Machine learning","Accelerometers;Cloud computing;Head;Image edge detection;Computer architecture;Sensor fusion;Fall detection;Protection;Wearable sensors;Intelligent sensors","","18","","7","IEEE","13 Feb 2020","20-22 May 2019","20-22 May 2019","IEEE","IEEE Conferences"
"A Fall Detection Method Based on K-Nearest Neighbor Algorithm with MIMO Millimeter-Wave Radar","C. Ding; Z. Ding; L. Wang; Y. Jia","college of Mechanical and Electrical Engineering, Chengdu University of Technology, Chengdu, China; college of Mechanical and Electrical Engineering, Chengdu University of Technology, Chengdu, China; college of Mechanical and Electrical Engineering, Chengdu University of Technology, Chengdu, China; college of Mechanical and Electrical Engineering, Chengdu University of Technology, Chengdu, China",2021 IEEE 6th International Conference on Signal and Image Processing (ICSIP),"28 Jan 2022","2021","","","624","628","As a frequent accident in daily life, falls are the main factor that leads to physical and mental injury and even endangers life. Due to the independence and privacy of the home environment, the elderly living alone has no access to being helped after falls, which seriously threatens their lives. A fall detection algorithm based on MIMO millimeter-wave (mmWave) radar is proposed in this paper. The three manually extracted features of velocity, acceleration, and DOA change rate are utilized for the input of the K-nearest neighbor (KNN) algorithm to detect human falls, and the performance of the KNN algorithm using different parameters is verified. The experimental results show that the accuracy of human fall detection reaches 91.25% when the K value of the KNN algorithm is 5. Compared with the deep learning algorithm, the KNN algorithm effectively reduces the complexity.","","978-1-6654-3904-6","10.1109/ICSIP52628.2021.9688752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9688752","MIMO mmWave radar;fall detection;manual feature extraction;KNN","Deep learning;Privacy;Radar detection;Millimeter wave radar;Feature extraction;Data mining;Fall detection","","16","","16","IEEE","28 Jan 2022","22-24 Oct. 2021","22-24 Oct. 2021","IEEE","IEEE Conferences"
"Pre-impact fall detection approach using dynamic threshold based and center of gravity in multiple Kinect viewpoints","N. Otanasap; P. Boonbrahm","School of Informatics, Walailak University, Nakhon-Si Thammarat, Thailand; School of Informatics, Walailak University, Nakhon-Si Thammarat, Thailand",2017 14th International Joint Conference on Computer Science and Software Engineering (JCSSE),"7 Sep 2017","2017","","","1","6","One of the primary reasons of injury related to death not only in elderlies but also in young people is slip trip and fall accidents. It will be very useful if fall accidents can be detected in pre-fall and critical fall phase long enough before the human body impact to the floor. Pre-impact fall detection method and lead time before impact are very important factors that has been used to save a person who takes risks. In this paper, multiple viewpoints in vision based sensing that provided by multiple Kinect© sensors using dynamic threshold based and center of gravity are proposed. Pre-fall detection alert will be triggered by acceleration of head position compared with dynamic threshold based approach and range of center of gravity compared with base of support area. Moreover using blinding technique without video stream recording is one of useful feature in our vision based approach for reducing privacy issue. Not only fall actions but also a series of normal activities in daily living such as sitting, bending and laying were performed by 10 young adult volunteers. Results from the experiments indicate that the proposed method lead time is about 500 milliseconds which is faster than previous proposition and it is appropriate for airbags inflation triggering.","","978-1-5090-4834-2","10.1109/JCSSE.2017.8025955","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8025955","dynamic threshold;fall detection;time series;pre-impact fall detection;Kinect","Gravity;Mathematical model;Sensors;Head;Accidents;Acceleration;Standards","","8","","18","IEEE","7 Sep 2017","12-14 July 2017","12-14 July 2017","IEEE","IEEE Conferences"
"Sparsity-based Feature Extraction in Fall Detection with a Portable FMCW Radar","C. Ding; J. Yan; H. Hong; X. Zhu","Nanjing University of Science and Technology, China; Nanjing Research Institute of Electronic Engineering; Nanjing University of Science and Technology, China; Nanjing University of Science and Technology, China",2021 IEEE International Workshop on Electromagnetics: Applications and Student Innovation Competition (iWEM),"13 Jun 2022","2021","volume1","","1","3","Due to the aging population, fall detection is crucial for elderly health care and assisted living. Radar-based methods attract much attention for its potential for high accuracy, robustness, and privacy preservation. In this paper, sparsity-based feature extraction methods are proposed to extract robust time-Doppler features with physical meanings for the classification of fall and fall-similar motions. First, sparse representation theory is introduced and through Gabor-based sparse dictionary, sparse representation of the received signals can be achieved in time-Doppler domain. Then, corresponding sparse point maps consisting of a series of sparse solutions are obtained by OMP-based algorithm. Particularly, reconstructed signals can be utilized to demonstrate that sparse features preserve most information from original ones while ignoring noise interferences. Finally, experiments have been conducted to show its feasibility by achieving an average accuracy of 95% on fall detection.","","978-1-6654-1828-7","10.1109/iWEM53379.2021.9790494","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9790494","Fall detection;sparse representation;FMCW radar;machine learning","Technological innovation;Privacy;Dictionaries;Sociology;Radar detection;Radar;Feature extraction","","7","","10","IEEE","13 Jun 2022","28-30 Nov. 2021","28-30 Nov. 2021","IEEE","IEEE Conferences"
"Human Fall Detection Using RFID Technology","B. Kaudki; A. Surve","Department of Computer Science and Engineering, Walchand College of Engineering, Sangli, India; Department of Computer Science and Engineering, Walchand College of Engineering, Sangli, India","2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","18 Oct 2018","2018","","","1","5","Falling is one of the leading health risks to the independent living elder and handicapped people, elder people falling has increased rapidly in past two decades. Previously fall detection methods were based on computer vision. Computer vision based human fall detection is one of the advice, but unsuccessfully such results demand high computational cost in additionally such computer vision based approaches depends on camera and on the lighting conditions. These devices which creates a problem such as privacy. Despite research done in past, the wearable sensor and computer vision techniques which are being used nowadays create a problem such as confidentiality and it is difficult for the elder people to remember to wear the devices, the elder people who are living alone in the home can have certain incidents like falling so to monitor the elder people activities this paper presents the signal fluctuations using RFID technology using this technology the activities of the elder people can identify.","","978-1-5386-4430-0","10.1109/ICCCNT.2018.8494022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8494022","Radio frequency Identification;Human Activity Recognition;Machine Learning and Artificial Intelligence","Activity recognition;Radiofrequency identification;Feature extraction;Monitoring;Intelligent sensors;Machine learning","","7","","13","IEEE","18 Oct 2018","10-12 July 2018","10-12 July 2018","IEEE","IEEE Conferences"
"Fall detection and activity classification using a wearable smart camera","K. Ozcan; A. K. Mahabalagiri; S. Velipasalar","Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA; Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA; Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA",2013 IEEE International Conference on Multimedia and Expo (ICME),"26 Sep 2013","2013","","","1","6","Robust detection of events and activities, such as falling, sitting and lying down, is a key to a reliable elderly activity monitoring system. While fast and precise detection of falls is critical in providing immediate medical attention, other activities like sitting and lying down can provide valuable information for early diagnosis of potential health problems. In this paper, we present a fall detection and activity classification system using wearable cameras. Since the camera is worn by the subject, monitoring extends to wherever the subject may go. Furthermore, since the captured frames are not of the subject, privacy is preserved. We present an improved fall detection algorithm employing histograms of edge orientations and strengths, and propose an optical flow-based method for activity classification. Trials were performed on five different subjects wearing a camera on their waist, each performing 40 different activities. Experimental results show the success of the proposed method.","1945-788X","978-1-4799-0015-2","10.1109/ICME.2013.6607626","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6607626","Fall detection;activity classification;histogram of oriented gradients;optical flow;smart camera","Cameras;Histograms;Optical imaging;Monitoring;Image edge detection;Vectors;Biomedical monitoring","","5","","13","IEEE","26 Sep 2013","15-19 July 2013","15-19 July 2013","IEEE","IEEE Conferences"
"Privacy Preserving Multi-class Fall Classification Based on Cascaded Learning And Noisy Labels Handling","L. Xie; Y. Sun; J. A. Chambers; S. M. Naqvi","Intelligent Sensing and Communications, Research Group Newcastle University, Newcastle upon Tyne, UK; Big Data Institute University of Oxford Oxford, UK; School of Engineering University of Leicester Leicester, UK; Intelligent Sensing and Communications, Research Group Newcastle University, Newcastle upon Tyne, UK",2022 25th International Conference on Information Fusion (FUSION),"9 Aug 2022","2022","","","1","6","With an increasingly ageing population in the world, fall detection and classification for elderly people becomes an imperative problem that needs to be addressed for assisted living. Currently, most of the fall detection algorithms are based on wearable and non-wearable sensors, such as accelerometer and video camera respectively. In this work, different from previous vision-based methods where the whole images are used, to mitigate the privacy protection problem and detect different types of fall events, we utilize only the skeleton data to achieve the classification of different fall events by using a deep neural network (DNN). The cost of manually labelling and due to varieties of annotators, for a recorded dataset, there always exist errors which will deteriorate the performance. To address this issue, we introduce the confident learning to remove wrong labelled samples and propose a new cascaded learning method to solve the noisy labelled data problem. To confirm the efficacy of the proposed method, we compare different algorithms on the UP-Fall dataset to show that the proposed method performs better than the state-of-the-art.","","978-1-7377497-2-1","10.23919/FUSION49751.2022.9841327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9841327","Fall detection;skeleton features;noisy label;confident learning;cascaded learning","Learning systems;Training;Data privacy;Sociology;Skeleton;Classification algorithms;Noise measurement","","4","","22","","9 Aug 2022","4-7 July 2022","4-7 July 2022","IEEE","IEEE Conferences"
"Dual mmWave radars fall detection using the Stockwell transform","T. Yang; F. Meng; Q. Xu","School of Aerospace Science and Technology, Xidian University, Xi'an, China; Guangzhou Institute of Technology, Xidian University, Xi'an, China; Guangzhou Institute of Technology, Xidian University, Xi'an, China",2021 CIE International Conference on Radar (Radar),"8 Feb 2023","2021","","","1503","1506","Elderly fall detection based on radar technology has recently drawn more and more attention because of the advantages of privacy protection, all-day working, and non-intrusive properties. Numerous time-frequency representation methods have been used to extract fall signatures. However, the measurement of peak-peak Doppler frequency using short-time Fourier transform and wavelet transform is limited due to weak energy in the high Doppler frequency area. A method for human fall detection based on Stockwell transform with dual mm Wave radars is proposed in this paper. Two mmWave radars are vertically placed to collect human motions in different directions, and the Micro-doppler features of human motions are obtained using Stockwell transform. To enhance the feature for recognition, extracted ridgelines from two mm Wave radars are fused in the time-frequency domain. And the model trained by a convolutional neural network (CNN) is used for fall recognition. 960 fall motions and 720 non-fall motions from 60 volunteers were collected, and the experimental result shows that the proposed method can produce a recognition accuracy of up to 94.14%.","2640-7736","978-1-6654-9814-2","10.1109/Radar53847.2021.10028225","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10028225","fall detection;Stockwell transform;data fusion;mmWave radar;convolutional neural network","Time-frequency analysis;Radar detection;Transforms;Feature extraction;Frequency measurement;Doppler radar;Convolutional neural networks","","3","","10","IEEE","8 Feb 2023","15-19 Dec. 2021","15-19 Dec. 2021","IEEE","IEEE Conferences"
"Automatic fall detection by a wearable embedded smart camera","M. Casares; K. Ozcan; A. Almagambetov; S. Velipasalar","Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA; Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA; Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA; Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA",2012 Sixth International Conference on Distributed Smart Cameras (ICDSC),"25 Feb 2013","2012","","","1","6","About one-third of adults in the U.S. aged 65 or older fall every year, with 20% of the reported fall cases needing prompt medical attention. The methods that have been proposed for fall detection in recent years present trade-offs between level of intrusiveness, coverage area, processing power requirements and detection accuracy. We present a robust and resource-efficient method for fall detection by using a wearable embedded smart camera, which is a small, battery-operated unit. The proposed approach employs histograms of edge orientations as well as edge strength values, and analyzes their correlation. Moreover, we adaptively determine the cells that do not contribute to overall edge information, and remove them autonomously. Since the camera is worn by the subject, monitoring can continue wherever the subject may go including outdoors. The captured frames are not the images of the subject, and this alleviates the privacy concerns. The alert and an image of the surroundings can be transmitted wirelessly, only when a fall event is detected, for easier localization of the subject by emergency response teams. The experimental results obtained with over 300 trials are very promising with a 91% detection rate for falls.","","978-1-4503-1772-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6470151","","Histograms;Image edge detection;Cameras;Biomedical monitoring;Smart cameras;Legged locomotion;Vectors","","3","","20","","25 Feb 2013","30 Oct.-2 Nov. 2012","30 Oct.-2 Nov. 2012","IEEE","IEEE Conferences"
